Model, ProductionYear,NumberofEngines,EngineType,Capacity,Range(km),FuelConsumption(L/h),HourlyMaintenance($),Age,SalesRegion,Price($)
Boeing 737,1988,2,Turbofan,162,5700,3.08,3637.25,35,South America,62857973.04
Airbus A350,2020,2,Turbofan,350,14800,8.25,4383.32,3,Africa,705982393.45
Airbus A350,2007,2,Turbofan,350,14800,13.41,2377.24,16,Africa,468529946.6
Airbus A350,1980,2,Turbofan,350,14800,12.74,1417.98,43,Asia,348122372.84
Cessna 172,1992,1,Piston,4,1285,30.5,4873.3,31,Australia,215500.09
Boeing 777,1980,2,Turbofan,396,15600,8.1,1808.95,43,North America,380374541.31
Cessna 172,1992,1,Piston,4,1285,15.16,1367.04,31,Asia,230665.41
Bombardier CRJ200,1980,2,Turbofan,50,3000,12.14,1840.37,43,Australia,10212065.11
Bombardier CRJ200,1995,2,Turbofan,50,3000,6.33,1247.83,28,Europe,11881037.92
Bombardier CRJ200,2002,2,Turbofan,50,3000,6.46,4729.66,21,North America,13993989.51
Airbus A320,1986,2,Turbofan,180,6300,13.58,1306.24,37,Africa,80766379.78
Cessna 172,2017,1,Piston,4,1285,38.39,2571.6,6,North America,386583.56
Airbus A320,1984,2,Turbofan,180,6300,4.4,1768.21,39,Asia,74370610.81
Boeing 777,1998,2,Turbofan,396,15600,2.28,677.13,25,Africa,378546278.41
Bombardier CRJ200,2013,2,Turbofan,50,3000,9.88,2604.74,10,South America,20014507.24
Cessna 172,2001,1,Piston,4,1285,11.08,2427.58,22,Africa,248818.84
Bombardier CRJ200,1988,2,Turbofan,50,3000,8.96,2447.78,35,North America,12393237.61
Airbus A350,2002,2,Turbofan,350,14800,7.06,2646.43,21,Europe,479278123.97
Airbus A320,2005,2,Turbofan,180,6300,14.51,4671.08,18,Asia,84598142.65
Airbus A320,1994,2,Turbofan,180,6300,7.89,2790.32,29,Australia,80270168.72
Airbus A320,1993,2,Turbofan,180,6300,5.63,1771.48,30,Australia,69817884.26
Boeing 737,2017,2,Turbofan,162,5700,14.98,2322.36,6,South America,112923675.19
Airbus A320,1987,2,Turbofan,180,6300,4.01,871.57,36,North America,73452990.26
Bombardier CRJ200,2021,2,Turbofan,50,3000,8.64,2478.03,2,Asia,21197474.64
Airbus A350,2020,2,Turbofan,350,14800,5.94,891.35,3,North America,621136307.73
Cessna 172,2019,1,Piston,4,1285,47.79,4849.51,4,Asia,424582.64
Cessna 172,1983,1,Piston,4,1285,10.25,4593.18,40,Australia,173967.11
Boeing 737,2021,2,Turbofan,162,5700,14.33,4148.08,2,Asia,122396952.3
Boeing 737,1987,2,Turbofan,162,5700,5.35,563.88,36,Africa,67002912.59
Airbus A350,2004,2,Turbofan,350,14800,11.01,2524.75,19,Asia,476651820.2
Cessna 172,1996,1,Piston,4,1285,26.23,2899.96,27,Africa,175152.6
Bombardier CRJ200,1989,2,Turbofan,50,3000,14.71,1261.23,34,Europe,12068285.95
Bombardier CRJ200,2023,2,Turbofan,50,3000,4.95,3214.6,0,Australia,26996108.15
Boeing 737,1999,2,Turbofan,162,5700,11.03,2947.04,24,Africa,67823499.77
Bombardier CRJ200,1986,2,Turbofan,50,3000,6.82,3251.04,37,Australia,12085331.47
Cessna 172,1997,1,Piston,4,1285,16.82,3974.68,26,South America,180299.14
Cessna 172,1988,1,Piston,4,1285,41.27,2443.13,35,Africa,188496.18
Boeing 737,2012,2,Turbofan,162,5700,12.32,2678.78,11,Australia,80762904.12
Cessna 172,1987,1,Piston,4,1285,19.53,4144.9,36,North America,232765.01
Boeing 737,1986,2,Turbofan,162,5700,8.56,1509.72,37,Africa,64502335.06
Airbus A320,2018,2,Turbofan,180,6300,14.57,2504.83,5,Europe,172027154.2
Boeing 777,2013,2,Turbofan,396,15600,13.22,3070.4,10,Europe,649458365.9
Boeing 777,2006,2,Turbofan,396,15600,9.58,4405.91,17,North America,467517440.38
Airbus A320,1982,2,Turbofan,180,6300,6.84,3731.06,41,South America,77642233.8
Airbus A350,1993,2,Turbofan,350,14800,13.27,2275.16,30,Australia,339263376.27
Airbus A350,2001,2,Turbofan,350,14800,14.57,1597.98,22,Europe,448665831.56
Boeing 737,1980,2,Turbofan,162,5700,7.76,4849.8,43,Australia,61608232.74
Boeing 737,1987,2,Turbofan,162,5700,8.84,1944.49,36,South America,56344343.06
Bombardier CRJ200,2011,2,Turbofan,50,3000,2.67,3814.13,12,Europe,20059839.09
Boeing 737,2012,2,Turbofan,162,5700,7.02,721.83,11,Asia,85547672.59
Bombardier CRJ200,1986,2,Turbofan,50,3000,6.17,2709.59,37,North America,10771218.39
Bombardier CRJ200,1994,2,Turbofan,50,3000,6.02,1365.16,29,Africa,11992740.96
Boeing 777,1996,2,Turbofan,396,15600,9.5,2501.21,27,Africa,412051573.46
Boeing 737,1986,2,Turbofan,162,5700,5.14,4925.03,37,Europe,70817125.22
Boeing 737,1998,2,Turbofan,162,5700,3.15,3232.96,25,North America,69635000.75
Bombardier CRJ200,2000,2,Turbofan,50,3000,2.83,3545.93,23,Africa,15009057.75
Bombardier CRJ200,1987,2,Turbofan,50,3000,12.94,1449.36,36,Asia,12806269.53
Boeing 737,1980,2,Turbofan,162,5700,12.97,636.59,43,Europe,54041942.22
Bombardier CRJ200,2021,2,Turbofan,50,3000,14.39,1102.0,2,Europe,22700687.3
Boeing 777,2002,2,Turbofan,396,15600,4.59,827.0,21,Africa,516841739.32
Cessna 172,1997,1,Piston,4,1285,15.03,2951.6,26,Australia,181065.61
Boeing 737,2003,2,Turbofan,162,5700,5.1,1803.78,20,North America,72925896.06
Airbus A320,1987,2,Turbofan,180,6300,4.83,3668.14,36,Africa,67659755.94
Airbus A350,2009,2,Turbofan,350,14800,7.08,2150.05,14,North America,502357867.88
Airbus A350,2010,2,Turbofan,350,14800,6.12,806.17,13,Africa,591361248.41
Bombardier CRJ200,1990,2,Turbofan,50,3000,8.58,1700.58,33,Asia,12672357.08
Airbus A320,1983,2,Turbofan,180,6300,6.68,4301.89,40,Europe,81365479.5
Boeing 737,2006,2,Turbofan,162,5700,6.07,3592.55,17,South America,85060981.57
Airbus A350,2016,2,Turbofan,350,14800,7.32,544.22,7,Australia,618832077.84
Airbus A350,1991,2,Turbofan,350,14800,11.01,1982.21,32,South America,343926650.57
Airbus A350,2002,2,Turbofan,350,14800,5.82,4152.32,21,South America,476643729.22
Boeing 737,2023,2,Turbofan,162,5700,11.45,2508.47,0,Australia,135567263.17
Airbus A320,2010,2,Turbofan,180,6300,13.9,3243.57,13,Africa,102594220.44
Boeing 737,2006,2,Turbofan,162,5700,11.77,1203.63,17,Africa,69852466.63
Boeing 737,1984,2,Turbofan,162,5700,6.34,2634.96,39,North America,66653348.76
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.56,3106.91,23,Asia,15581833.64
Bombardier CRJ200,2023,2,Turbofan,50,3000,2.67,2834.37,0,South America,26625638.6
Bombardier CRJ200,2016,2,Turbofan,50,3000,8.4,1547.86,7,Australia,18815885.49
Cessna 172,1994,1,Piston,4,1285,22.91,2768.6,29,Australia,201717.86
Boeing 777,2013,2,Turbofan,396,15600,8.03,1661.48,10,South America,661842443.9
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.09,977.96,4,Asia,23808526.06
Airbus A350,2022,2,Turbofan,350,14800,11.98,4135.81,1,Australia,752172818.55
Airbus A320,2010,2,Turbofan,180,6300,9.51,4254.46,13,North America,106410695.1
Bombardier CRJ200,2023,2,Turbofan,50,3000,7.96,3408.83,0,Australia,22880601.29
Airbus A350,1989,2,Turbofan,350,14800,3.06,3375.33,34,South America,373523066.58
Cessna 172,1983,1,Piston,4,1285,21.71,2457.57,40,Asia,190362.62
Bombardier CRJ200,1990,2,Turbofan,50,3000,12.34,3612.4,33,South America,12238421.06
Airbus A350,2011,2,Turbofan,350,14800,3.36,1235.1,12,Europe,431703877.31
Boeing 737,2011,2,Turbofan,162,5700,10.44,980.2,12,North America,116156337.15
Airbus A320,2001,2,Turbofan,180,6300,12.77,4406.0,22,North America,81911610.78
Boeing 737,2012,2,Turbofan,162,5700,2.64,1005.79,11,Europe,100956490.02
Cessna 172,2021,1,Piston,4,1285,15.43,1658.66,2,Africa,382148.2
Airbus A350,1995,2,Turbofan,350,14800,9.93,4743.42,28,Asia,318975783.98
Airbus A350,2008,2,Turbofan,350,14800,11.23,4257.38,15,South America,538149109.65
Airbus A350,1985,2,Turbofan,350,14800,10.31,1737.94,38,Africa,352482250.7
Airbus A350,2000,2,Turbofan,350,14800,14.97,2034.33,23,Asia,365885659.79
Airbus A350,2021,2,Turbofan,350,14800,2.32,4688.03,2,Asia,645922061.59
Boeing 737,2005,2,Turbofan,162,5700,11.43,3635.1,18,Africa,85186752.81
Boeing 737,2015,2,Turbofan,162,5700,3.67,3413.04,8,South America,118040432.91
Boeing 737,1985,2,Turbofan,162,5700,14.77,3425.84,38,South America,62665371.52
Cessna 172,2020,1,Piston,4,1285,24.49,679.77,3,North America,435782.85
Cessna 172,2015,1,Piston,4,1285,38.06,4218.76,8,Europe,335023.53
Bombardier CRJ200,2022,2,Turbofan,50,3000,8.1,2421.03,1,Africa,23522452.21
Boeing 777,2003,2,Turbofan,396,15600,10.33,4678.5,20,Asia,489600087.79
Airbus A320,2009,2,Turbofan,180,6300,14.64,797.25,14,North America,90840842.88
Cessna 172,2019,1,Piston,4,1285,29.11,2120.27,4,South America,447068.67
Airbus A350,2022,2,Turbofan,350,14800,11.3,3480.04,1,North America,650486556.0
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.1,1706.64,15,Asia,17497300.85
Boeing 737,2022,2,Turbofan,162,5700,9.77,679.09,1,Europe,113879269.04
Boeing 737,2001,2,Turbofan,162,5700,13.58,4413.63,22,North America,58415327.81
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.72,846.36,25,South America,9381709.87
Cessna 172,2003,1,Piston,4,1285,19.79,4195.67,20,Australia,286533.63
Boeing 737,1982,2,Turbofan,162,5700,5.16,4447.04,41,Europe,61730163.69
Airbus A350,1988,2,Turbofan,350,14800,4.5,2977.57,35,Australia,392864125.34
Bombardier CRJ200,2006,2,Turbofan,50,3000,12.97,719.45,17,Asia,17023218.93
Boeing 777,2019,2,Turbofan,396,15600,6.45,2471.2,4,Europe,667299440.37
Airbus A320,1987,2,Turbofan,180,6300,9.57,3904.91,36,Africa,79143572.67
Airbus A320,2009,2,Turbofan,180,6300,4.45,1339.66,14,Europe,125812479.83
Bombardier CRJ200,2001,2,Turbofan,50,3000,2.64,578.74,22,Asia,13925090.65
Airbus A350,1982,2,Turbofan,350,14800,12.65,3077.47,41,Australia,329235139.04
Bombardier CRJ200,2017,2,Turbofan,50,3000,5.56,3183.56,6,Asia,18418835.62
Airbus A350,2009,2,Turbofan,350,14800,11.56,619.74,14,Australia,599860686.11
Cessna 172,2012,1,Piston,4,1285,37.01,3837.58,11,Europe,395027.14
Airbus A350,1980,2,Turbofan,350,14800,6.58,1426.47,43,South America,403966356.18
Bombardier CRJ200,1983,2,Turbofan,50,3000,10.17,4832.3,40,South America,12579349.51
Airbus A350,2017,2,Turbofan,350,14800,3.37,1328.46,6,Africa,676454642.63
Cessna 172,1991,1,Piston,4,1285,41.26,3282.28,32,Australia,241136.75
Cessna 172,1991,1,Piston,4,1285,43.38,3664.75,32,Australia,203846.14
Airbus A320,1986,2,Turbofan,180,6300,6.08,3382.01,37,Africa,84289355.1
Bombardier CRJ200,2018,2,Turbofan,50,3000,2.43,4810.87,5,South America,19138704.39
Boeing 777,2012,2,Turbofan,396,15600,4.29,3704.99,11,Africa,637952312.31
Airbus A350,2018,2,Turbofan,350,14800,8.43,1559.22,5,Australia,698363714.55
Airbus A320,1997,2,Turbofan,180,6300,13.85,2752.79,26,Africa,73832213.67
Boeing 777,1998,2,Turbofan,396,15600,10.4,1159.77,25,Africa,374150082.0
Airbus A320,1988,2,Turbofan,180,6300,9.72,3575.43,35,Africa,74766918.66
Cessna 172,2012,1,Piston,4,1285,22.38,3896.72,11,North America,261042.74
Bombardier CRJ200,2015,2,Turbofan,50,3000,5.8,4928.4,8,North America,17863467.38
Bombardier CRJ200,2015,2,Turbofan,50,3000,6.61,1826.68,8,Australia,17073532.59
Airbus A320,1992,2,Turbofan,180,6300,5.45,4618.8,31,Europe,81597144.58
Cessna 172,1998,1,Piston,4,1285,14.14,4531.17,25,Australia,228456.9
Boeing 777,2023,2,Turbofan,396,15600,14.59,1259.37,0,Europe,816282443.33
Bombardier CRJ200,2021,2,Turbofan,50,3000,14.29,2537.98,2,Europe,20432074.53
Cessna 172,2014,1,Piston,4,1285,22.15,1347.36,9,Australia,387543.54
Bombardier CRJ200,2000,2,Turbofan,50,3000,3.87,918.58,23,Australia,12808977.3
Boeing 737,2002,2,Turbofan,162,5700,3.84,4080.1,21,South America,66893780.33
Airbus A350,2017,2,Turbofan,350,14800,10.36,1086.44,6,South America,623318826.68
Bombardier CRJ200,2006,2,Turbofan,50,3000,8.98,3451.19,17,Australia,17651379.38
Bombardier CRJ200,2014,2,Turbofan,50,3000,10.87,3547.06,9,North America,17054603.91
Airbus A350,1980,2,Turbofan,350,14800,7.92,675.53,43,South America,400756281.26
Boeing 737,1981,2,Turbofan,162,5700,9.4,4509.38,42,Africa,66637988.5
Airbus A320,1983,2,Turbofan,180,6300,14.74,3534.32,40,Australia,71477054.62
Boeing 737,1992,2,Turbofan,162,5700,10.93,4935.2,31,North America,68171348.85
Airbus A320,1998,2,Turbofan,180,6300,12.15,981.63,25,Australia,73364659.83
Boeing 777,1989,2,Turbofan,396,15600,6.98,4595.88,34,Asia,356224694.87
Bombardier CRJ200,1998,2,Turbofan,50,3000,6.03,2469.94,25,Europe,14423823.05
Cessna 172,1982,1,Piston,4,1285,47.45,3929.58,41,North America,221612.88
Airbus A350,1986,2,Turbofan,350,14800,2.87,1637.77,37,South America,394071480.53
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.86,1705.99,8,Europe,23112207.5
Bombardier CRJ200,2021,2,Turbofan,50,3000,11.35,1657.19,2,South America,25129946.99
Airbus A350,1995,2,Turbofan,350,14800,6.88,626.55,28,South America,334876301.54
Bombardier CRJ200,1998,2,Turbofan,50,3000,5.06,4203.52,25,Australia,12509898.25
Bombardier CRJ200,1983,2,Turbofan,50,3000,7.27,3435.27,40,Africa,10992678.31
Airbus A350,2006,2,Turbofan,350,14800,13.82,576.11,17,Australia,502235563.98
Boeing 777,2015,2,Turbofan,396,15600,12.66,1713.34,8,Asia,724875171.76
Boeing 737,1996,2,Turbofan,162,5700,13.91,4844.52,27,Europe,55659359.69
Cessna 172,2008,1,Piston,4,1285,41.8,2762.94,15,Europe,281338.41
Bombardier CRJ200,2021,2,Turbofan,50,3000,12.61,1722.73,2,North America,22490376.98
Cessna 172,2014,1,Piston,4,1285,13.54,2202.42,9,Australia,309221.27
Cessna 172,1992,1,Piston,4,1285,49.45,1249.42,31,Australia,252606.68
Airbus A320,1998,2,Turbofan,180,6300,5.66,4193.82,25,Africa,80002275.38
Airbus A320,2023,2,Turbofan,180,6300,8.46,4679.44,0,Asia,141291914.99
Airbus A320,1991,2,Turbofan,180,6300,7.8,4293.25,32,Australia,86365531.45
Cessna 172,1987,1,Piston,4,1285,24.45,1282.84,36,Africa,233338.74
Boeing 737,2007,2,Turbofan,162,5700,2.92,3367.86,16,North America,91015650.57
Cessna 172,1996,1,Piston,4,1285,28.98,4983.01,27,Europe,167294.62
Airbus A320,2017,2,Turbofan,180,6300,7.62,4172.26,6,North America,143732079.94
Boeing 737,2001,2,Turbofan,162,5700,7.34,4489.68,22,Africa,80387066.84
Bombardier CRJ200,1989,2,Turbofan,50,3000,10.19,3219.37,34,Asia,10756239.03
Airbus A320,2000,2,Turbofan,180,6300,2.22,921.02,23,South America,82482864.51
Boeing 737,2020,2,Turbofan,162,5700,5.07,4430.9,3,South America,127492774.88
Bombardier CRJ200,1999,2,Turbofan,50,3000,8.58,1940.07,24,Africa,11504518.58
Cessna 172,2015,1,Piston,4,1285,48.39,1231.3,8,North America,410786.82
Boeing 737,2000,2,Turbofan,162,5700,2.11,1147.44,23,South America,65024869.13
Airbus A320,1991,2,Turbofan,180,6300,9.63,589.88,32,South America,87341219.49
Boeing 737,2012,2,Turbofan,162,5700,7.49,533.58,11,Europe,70906659.96
Airbus A350,2014,2,Turbofan,350,14800,7.76,3731.31,9,South America,556418806.65
Airbus A350,1985,2,Turbofan,350,14800,9.65,4159.14,38,North America,401051745.14
Airbus A320,1993,2,Turbofan,180,6300,5.08,1448.43,30,Australia,86949746.96
Boeing 777,2001,2,Turbofan,396,15600,5.36,2370.33,22,North America,464229649.63
Boeing 777,1993,2,Turbofan,396,15600,10.7,4401.55,30,South America,370575893.35
Cessna 172,2010,1,Piston,4,1285,35.07,1419.15,13,South America,224106.55
Bombardier CRJ200,1980,2,Turbofan,50,3000,14.94,2114.34,43,Asia,9639063.4
Bombardier CRJ200,2002,2,Turbofan,50,3000,13.92,3046.33,21,Africa,10039761.08
Airbus A320,2021,2,Turbofan,180,6300,7.86,4103.68,2,South America,160041562.35
Cessna 172,1995,1,Piston,4,1285,17.69,2715.65,28,Asia,248241.96
Bombardier CRJ200,2000,2,Turbofan,50,3000,5.2,2587.71,23,Africa,12716780.07
Boeing 737,2004,2,Turbofan,162,5700,8.93,4785.19,19,North America,83620885.41
Cessna 172,1998,1,Piston,4,1285,31.72,3341.95,25,Asia,206963.47
Cessna 172,2003,1,Piston,4,1285,34.92,946.16,20,South America,232309.94
Cessna 172,2008,1,Piston,4,1285,41.12,2510.93,15,Africa,282260.94
Boeing 737,1998,2,Turbofan,162,5700,14.05,2328.5,25,Australia,60468768.39
Airbus A320,2000,2,Turbofan,180,6300,7.45,3696.9,23,South America,77383976.78
Boeing 737,1986,2,Turbofan,162,5700,10.66,4930.59,37,Europe,63685426.33
Cessna 172,2014,1,Piston,4,1285,33.43,1784.32,9,Asia,367302.0
Bombardier CRJ200,1984,2,Turbofan,50,3000,11.33,1604.55,39,Europe,10800957.48
Bombardier CRJ200,2020,2,Turbofan,50,3000,10.75,3995.7,3,Europe,24656547.06
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.3,853.82,16,Asia,16834712.2
Airbus A320,2014,2,Turbofan,180,6300,14.84,1617.29,9,Australia,147416324.72
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.76,3581.26,16,Australia,15273288.95
Boeing 737,2023,2,Turbofan,162,5700,5.66,1575.49,0,Europe,108597304.1
Boeing 737,2009,2,Turbofan,162,5700,13.43,588.43,14,Australia,86969077.11
Boeing 777,1982,2,Turbofan,396,15600,6.44,4845.24,41,Asia,435402909.77
Boeing 737,1983,2,Turbofan,162,5700,4.08,1159.74,40,Europe,66803404.73
Boeing 777,2015,2,Turbofan,396,15600,10.01,4055.37,8,Asia,676372720.88
Cessna 172,1994,1,Piston,4,1285,24.75,1890.13,29,North America,203676.01
Airbus A350,2004,2,Turbofan,350,14800,12.54,3963.79,19,Africa,488327743.9
Bombardier CRJ200,2005,2,Turbofan,50,3000,12.03,2329.08,18,Africa,15257143.96
Boeing 777,1981,2,Turbofan,396,15600,13.67,2677.45,42,Africa,373393941.63
Bombardier CRJ200,1987,2,Turbofan,50,3000,13.05,4123.04,36,South America,12790480.35
Boeing 737,2021,2,Turbofan,162,5700,14.38,1801.18,2,Australia,150943234.53
Cessna 172,1984,1,Piston,4,1285,10.68,3403.18,39,Australia,239009.13
Cessna 172,1982,1,Piston,4,1285,11.78,4821.65,41,Australia,229148.31
Boeing 737,2002,2,Turbofan,162,5700,12.69,3496.76,21,South America,74436271.28
Boeing 737,1998,2,Turbofan,162,5700,9.05,559.77,25,Australia,62946225.8
Boeing 777,2018,2,Turbofan,396,15600,10.9,824.96,5,Asia,488755367.93
Boeing 777,2008,2,Turbofan,396,15600,11.95,2764.49,15,Africa,490433856.15
Airbus A350,2022,2,Turbofan,350,14800,4.24,3417.16,1,Asia,726100383.94
Airbus A350,1990,2,Turbofan,350,14800,9.97,4425.78,33,South America,342870665.94
Airbus A320,1988,2,Turbofan,180,6300,5.29,3320.75,35,Australia,78627340.33
Airbus A350,2014,2,Turbofan,350,14800,12.63,4116.62,9,North America,610697917.9
Bombardier CRJ200,1989,2,Turbofan,50,3000,11.8,2547.31,34,North America,12575838.27
Bombardier CRJ200,2021,2,Turbofan,50,3000,9.11,1096.12,2,North America,21171023.79
Boeing 737,2015,2,Turbofan,162,5700,13.09,2380.93,8,South America,107655148.39
Airbus A320,1987,2,Turbofan,180,6300,3.29,4352.69,36,Asia,76512188.02
Boeing 737,2016,2,Turbofan,162,5700,3.68,4436.45,7,South America,104709544.98
Airbus A350,2014,2,Turbofan,350,14800,3.32,3739.99,9,South America,519176648.93
Boeing 737,1999,2,Turbofan,162,5700,5.04,4050.11,24,Europe,74452073.62
Bombardier CRJ200,2002,2,Turbofan,50,3000,5.06,3376.41,21,Europe,14948192.81
Airbus A350,2021,2,Turbofan,350,14800,13.27,1070.61,2,South America,742312275.98
Airbus A320,1990,2,Turbofan,180,6300,3.65,3171.09,33,Europe,69090321.18
Airbus A320,2019,2,Turbofan,180,6300,11.87,3651.57,4,North America,140539523.19
Airbus A320,1987,2,Turbofan,180,6300,8.58,976.08,36,Europe,83419730.19
Bombardier CRJ200,2016,2,Turbofan,50,3000,7.12,2910.6,7,Asia,20809252.89
Cessna 172,2009,1,Piston,4,1285,29.72,4316.91,14,Australia,274025.25
Cessna 172,1984,1,Piston,4,1285,43.28,4310.53,39,North America,145814.79
Bombardier CRJ200,1984,2,Turbofan,50,3000,6.33,2315.84,39,North America,15401925.43
Boeing 737,1992,2,Turbofan,162,5700,12.32,1572.52,31,Australia,61520328.45
Cessna 172,2011,1,Piston,4,1285,23.36,2689.17,12,North America,316198.6
Boeing 777,1988,2,Turbofan,396,15600,5.97,4771.77,35,Australia,381682409.0
Bombardier CRJ200,1995,2,Turbofan,50,3000,7.99,1259.87,28,Asia,12662068.14
Boeing 777,2019,2,Turbofan,396,15600,6.64,2982.71,4,Asia,588942640.12
Airbus A320,2000,2,Turbofan,180,6300,14.55,2512.86,23,Africa,72820076.66
Airbus A350,2001,2,Turbofan,350,14800,7.95,1595.6,22,South America,387474984.54
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.68,3917.84,24,Australia,14350410.08
Cessna 172,1989,1,Piston,4,1285,32.55,2024.3,34,South America,204738.02
Cessna 172,2003,1,Piston,4,1285,39.68,1422.41,20,North America,264323.3
Airbus A350,1990,2,Turbofan,350,14800,11.39,2086.38,33,Asia,363092268.68
Boeing 777,1995,2,Turbofan,396,15600,13.78,1936.51,28,Europe,391286878.14
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.07,2718.64,2,Africa,22757753.13
Boeing 777,2003,2,Turbofan,396,15600,14.27,1381.91,20,Europe,474108032.37
Bombardier CRJ200,2001,2,Turbofan,50,3000,9.08,4654.79,22,Africa,13850253.31
Airbus A350,2008,2,Turbofan,350,14800,11.13,1713.84,15,North America,566527267.14
Boeing 777,2011,2,Turbofan,396,15600,3.48,734.11,12,South America,532629798.96
Boeing 737,1991,2,Turbofan,162,5700,14.99,517.63,32,Australia,67190242.3
Cessna 172,1985,1,Piston,4,1285,22.0,2793.77,38,North America,226945.3
Airbus A320,2014,2,Turbofan,180,6300,5.7,1180.69,9,Europe,145871839.64
Boeing 777,2020,2,Turbofan,396,15600,3.01,2928.48,3,Asia,698592532.17
Bombardier CRJ200,1984,2,Turbofan,50,3000,3.33,581.13,39,Asia,12902849.62
Cessna 172,2020,1,Piston,4,1285,42.07,3368.31,3,Asia,396067.78
Cessna 172,2017,1,Piston,4,1285,24.47,2598.69,6,Africa,354982.77
Cessna 172,1993,1,Piston,4,1285,29.49,2805.17,30,Asia,223945.41
Cessna 172,1996,1,Piston,4,1285,47.85,3312.91,27,South America,238951.67
Cessna 172,2010,1,Piston,4,1285,12.52,726.45,13,Australia,390402.71
Airbus A320,2003,2,Turbofan,180,6300,2.42,1343.06,20,Africa,102220913.66
Airbus A320,2017,2,Turbofan,180,6300,12.87,1112.25,6,Australia,151000660.93
Boeing 777,1988,2,Turbofan,396,15600,5.92,1196.54,35,Africa,370266438.46
Cessna 172,2012,1,Piston,4,1285,29.56,1645.99,11,Asia,288350.13
Airbus A350,2003,2,Turbofan,350,14800,14.83,2333.34,20,South America,453344572.32
Boeing 737,2022,2,Turbofan,162,5700,12.87,745.29,1,Europe,117886733.13
Cessna 172,2023,1,Piston,4,1285,31.08,2803.72,0,Europe,374210.71
Cessna 172,1988,1,Piston,4,1285,22.75,1389.61,35,Africa,218677.82
Airbus A320,1991,2,Turbofan,180,6300,4.73,3170.73,32,South America,73021496.56
Cessna 172,2022,1,Piston,4,1285,15.83,1110.32,1,Europe,459392.6
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.36,3638.44,13,North America,16347699.61
Boeing 737,1994,2,Turbofan,162,5700,12.95,1595.49,29,Africa,66476382.09
Airbus A320,1984,2,Turbofan,180,6300,2.94,1441.88,39,North America,72313179.34
Boeing 777,1994,2,Turbofan,396,15600,10.45,4640.18,29,Asia,461572251.39
Bombardier CRJ200,1993,2,Turbofan,50,3000,14.32,906.89,30,South America,11082343.22
Boeing 777,2004,2,Turbofan,396,15600,2.67,2310.17,19,Africa,432889444.39
Airbus A350,1982,2,Turbofan,350,14800,3.6,2734.32,41,Asia,309450665.81
Bombardier CRJ200,2000,2,Turbofan,50,3000,12.44,3977.78,23,Asia,11580346.16
Bombardier CRJ200,2013,2,Turbofan,50,3000,6.77,1190.36,10,Australia,17335056.34
Boeing 777,1996,2,Turbofan,396,15600,11.19,4093.04,27,South America,382740371.22
Cessna 172,2016,1,Piston,4,1285,24.67,1356.72,7,Europe,377411.44
Airbus A350,2021,2,Turbofan,350,14800,14.82,1046.17,2,Africa,655977473.68
Boeing 777,2017,2,Turbofan,396,15600,7.07,4013.07,6,Australia,757618965.63
Boeing 737,2013,2,Turbofan,162,5700,4.27,2993.45,10,North America,103139561.03
Airbus A350,1994,2,Turbofan,350,14800,12.96,2204.17,29,South America,422620706.91
Airbus A350,2002,2,Turbofan,350,14800,13.62,4400.7,21,North America,487719146.58
Airbus A350,2010,2,Turbofan,350,14800,3.23,4639.07,13,South America,642704827.38
Boeing 737,2012,2,Turbofan,162,5700,9.89,3906.17,11,Europe,102018991.6
Airbus A350,1990,2,Turbofan,350,14800,12.37,1250.54,33,Europe,355616510.1
Boeing 737,2012,2,Turbofan,162,5700,4.26,2587.14,11,Australia,101358797.56
Boeing 777,1993,2,Turbofan,396,15600,2.24,2018.65,30,Europe,441177408.05
Airbus A320,1990,2,Turbofan,180,6300,10.63,3288.12,33,North America,61189998.57
Cessna 172,1987,1,Piston,4,1285,18.62,4263.31,36,Australia,213768.67
Airbus A320,2006,2,Turbofan,180,6300,3.27,4916.4,17,North America,116158889.98
Bombardier CRJ200,1987,2,Turbofan,50,3000,10.3,1863.8,36,Africa,12784119.36
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.14,795.32,13,Africa,17503522.46
Airbus A320,2017,2,Turbofan,180,6300,10.49,3158.9,6,Europe,127712534.89
Bombardier CRJ200,2006,2,Turbofan,50,3000,4.53,4296.56,17,Asia,13811764.15
Airbus A320,1982,2,Turbofan,180,6300,9.31,4220.91,41,Europe,84550728.09
Cessna 172,2017,1,Piston,4,1285,32.75,1433.8,6,Europe,412581.36
Airbus A320,2020,2,Turbofan,180,6300,7.62,4404.75,3,South America,146559370.47
Boeing 737,2016,2,Turbofan,162,5700,7.06,1142.54,7,Europe,114641994.95
Boeing 737,1990,2,Turbofan,162,5700,6.16,4782.66,33,North America,59298748.76
Airbus A320,2013,2,Turbofan,180,6300,6.05,3760.51,10,Africa,122422074.64
